TimeSeconds,MissionState,WaypointIndex,PositionXMetres,PositionYMetres,PositionZMetres,GroundVelocityXMetresPerSecond,GroundVelocityYMetresPerSecond,GroundVelocityZMetresPerSecond,GroundSpeedMetresPerSecond,AirVelocityXMetresPerSecond,AirVelocityYMetresPerSecond,AirVelocityZMetresPerSecond,AirSpeedMetresPerSecond,YawDegrees,PitchDegrees,RollDegrees,TargetDistanceMetres,DistanceTravelledMetres,WindXMetresPerSecond,WindYMetresPerSecond,WindZMetresPerSecond,WindSpeedMetresPerSecond,BirdActive,BirdPositionXMetres,BirdPositionYMetres,BirdPositionZMetres,BirdDistanceMetres,BirdClearanceMetres,BirdLidarHits,APFAvoidanceActive,APFEmergencyActive,APFObstacleCount,RepulsiveSpeedMetresPerSecond,TangentialSpeedMetresPerSecond,MapCoveragePercent,MapFreeCells,MapOccupiedCells,MapUpdateCount,FPVTargetVisible,FPVBirdVisible,FPVForwardObstacleDistanceMetres
31.2000000000003,LANDING_DESCENT,7,28.0013226176136,-0.0102928397342863,1.11264966090177,-0.0464431251697246,-0.167431113284293,-0.403528371981337,0.439346433427035,-0.0620041207872765,-0.204245139163021,-0.466110731923078,0.512659538368489,-0.00047366826846881,-0.895324102072654,3.40415034818769,0.412780128530307,33.5654282483172,0.0155609956175519,0.0368140258787285,0.0625823599417412,0.0742561031962142,0,12.5,5,4,16.5448127585634,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,198,0,0,NaN
31.3000000000003,LANDING_DESCENT,7,27.9967512875771,-0.0247260806976551,1.07237157092375,-0.0458034950530981,-0.133485795317776,-0.402972780854915,0.426970115840257,-0.0487628290367114,-0.159096595681867,-0.468789674072085,0.497446779836632,-0.0003922446931225,-0.920874499692855,2.94856394192076,0.373205734188656,33.6084700661678,0.00295933398361323,0.0256108003640904,0.0658168932171694,0.0706861668622379,0,12.5,5,4,16.5519841974853,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,198,0,0,NaN
31.4000000000003,LANDING_DESCENT,7,27.9923547754067,-0.0349262449414836,1.03191406400536,-0.0428787308967364,-0.0893662004716636,-0.405538712586808,0.417476407425165,-0.0354431201673783,-0.123034863548591,-0.470937702963986,0.488032901030878,-0.000324817830384783,-0.905844774175408,2.28364393244398,0.333834147338689,33.6504432634801,-0.00743561072935807,0.0336686630769279,0.0653989903771776,0.0739316922751022,0,12.5,5,4,16.5581723901678,NaN,0,0,0,0,0,0,92.6736111111111,5210,128,199,0,0,NaN
31.5000000000003,LANDING_DESCENT,7,27.9882279957879,-0.0402331201233879,0.991268455957901,-0.0410460752721753,-0.0403805936840754,-0.406865937384957,0.410920020984215,-0.0223282757879709,-0.0982990443104031,-0.472554039317963,0.483185858741463,-0.000268981645344671,-0.905398672998943,1.49279489164168,0.294269599982964,33.691660433274,-0.0187177994842044,0.0579184506263278,0.0656881019330055,0.0895535017520039,0,12.5,5,4,16.5632612084338,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,200,0,0,NaN
31.6000000000003,LANDING_DESCENT,7,27.9844822888012,-0.0410673707936921,0.950393871243015,-0.0356242445410806,0.00207416393555969,-0.409599944337654,0.411151436038552,-0.00973868052514034,-0.0844869468399464,-0.473554186174095,0.481130391191116,-0.000222743700513625,-0.841174421008343,0.769887880003729,0.254213333758908,33.7327284464585,-0.0258855640159403,0.086561110775506,0.0639542418364412,0.110693420635496,0,12.5,5,4,16.5674877253503,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,200,0,0,NaN
31.7000000000003,LANDING_DESCENT,7,27.9813645387636,-0.0374409333800584,0.909017878453771,-0.0311143548085445,0.0491408459849142,-0.415631513239679,0.419681403706634,0.00163471604031241,-0.0821228354819996,-0.473289793805584,0.480364508810411,-0.000184454058393195,-0.785658205989238,-0.0680815780507662,0.213160919075656,33.7743991656389,-0.0327490708488569,0.131263681466914,0.0576582805659045,0.147061664044466,0,12.5,5,4,16.5711384525958,NaN,0,0,0,0,0,0,92.6736111111111,5209,129,201,0,0,NaN
31.8000000000003,LANDING_DESCENT,7,27.9790463105053,-0.0290177328723861,0.867362340088985,-0.0199451126404556,0.0970643198180194,-0.416168718627974,0.427803333395645,0.0112875690334402,-0.0926053265481143,-0.472353754127571,0.481478166439744,-0.000152746405743879,-0.612204086030687,-0.960619414210633,0.171146834047707,33.8169811099122,-0.0312326816738958,0.189669646366134,0.0561850354995972,0.200266855398711,0,12.5,5,4,16.5742364152502,NaN,0,0,0,0,0,0,92.6388888888889,5207,129,202,0,0,NaN
31.9000000000003,LANDING_DESCENT,7,27.9769917287027,-0.0169016553483315,0.825506181733287,-0.0196860036760838,0.130526880143383,-0.419432206717552,0.439713749174,0.020434388774796,-0.113754118329162,-0.470954645913545,0.484928698046421,-0.000126489298607956,-0.616624413129914,-1.64308896129275,0.128712268859163,33.860612927961,-0.0401203924508798,0.244280998472545,0.0515224391959931,0.252858485809476,0,12.5,5,4,16.576609610894,NaN,0,0,0,0,0,0,92.6388888888889,5207,129,202,0,0,NaN
32.0000000000003,LANDING_DESCENT,7,27.9751022281068,-0.00175923266009028,0.783338910712311,-0.0180008397317766,0.156008210461023,-0.422325603473484,0.450579079975471,0.0292914742865434,-0.144319501861512,-0.468840192925703,0.491423682361813,-0.000104745788170256,-0.595693928874207,-2.21585670046063,0.0869963676455235,33.9054584315727,-0.04729231401832,0.300327712322535,0.0465145894522189,0.307566098239066,0,12.5,5,4,16.5783983832936,NaN,0,0,0,0,0,0,92.65625,5208,129,203,0,0,NaN
32.1000000000003,LANDING_FLARE,7,27.9736864973264,0.0163496935275749,0.742491196085246,-0.0131994941159928,0.189593590157008,-0.392238248588895,0.435856398059757,0.0370612391220466,-0.18444140346971,-0.430740094611121,0.470031058404373,-8.67399871744561e-05,-0.518772726656255,-2.94392724415626,0.663215121805783,33.9501858184104,-0.0502607332380394,0.374034993626718,0.0385018460222263,0.379355650953144,0,12.5,5,4,16.5795991448022,NaN,0,0,0,0,0,0,92.65625,5208,129,203,0,0,NaN
